state,year,seatbelt_avg,exercise_avg,smoke_avg,drink_avg,checkup_avg,healthcare_avg,weight_avg,height_avg
CA,2013,4.90459708,0.798403602,0.386754446,0.581041968,3.419950504,0.869719295,170.4902235,5.543916822
CA,2014,4.912420862,0.795321637,0.387881926,0.581084919,3.466329754,0.890218069,172.317279,5.564630917
CA,2015,4.907462391,0.811448463,0.367674332,0.570765027,3.452265301,0.907568131,172.7217609,5.559382748
CA,2016,4.90243395,0.807297168,0.365017099,0.571268922,3.478171696,0.911917597,172.247673,5.558959473
CA,2017,4.919734219,0.815517687,0.359980502,0.604006926,3.467919559,0.912782486,173.2080938,5.572981427
CO,2006,4.732298912,0.832985749,0.453532892,0.617776992,3.356850897,0.888405292,168.3329861,5.590292245
CO,2007,3.354545455,0.855993564,0.363978495,0.615499813,3.220324979,0.844110545,246.5018767,6.914655943
CO,2008,4.753744701,0.807537012,0.464478417,0.615499813,3.409997243,0.905001347,167.531236,5.576260046
CO,2010,4.763500047,0.801930189,0.464013778,0.580605833,3.398921833,0.897324657,170.1446977,5.574976725
CO,2011,4.775953128,0.828590121,0.470008536,0.617505398,3.393900889,0.896303743,170.5399861,5.581733117
CO,2012,4.744131455,0.83161068,0.457663644,0.607873165,3.37732342,0.881677742,170.5371183,5.587175627
CO,2013,4.759284497,0.818466221,0.449479636,0.608534476,3.388112998,0.887265947,170.5393545,5.589731187
CO,2014,4.759419288,0.837207445,0.437017333,0.606089357,3.438904379,0.925320513,171.3086499,5.587276572
CO,2015,4.767407544,0.818422012,0.448691099,0.590306436,3.438689308,0.92737709,171.9438184,5.588636615
CO,2016,4.768292683,0.841289844,0.421230455,0.615817418,3.454815153,0.941534804,172.9404101,5.598576258
CO,2017,4.807015369,0.819502586,0.420939147,0.62801698,3.416996718,0.936047158,173.5732329,5.601152227
CT,2006,4.744225499,0.7705231,0.491057741,0.6095592,3.592320577,0.922125924,167.9028608,5.533545243
CT,2007,2.757575758,0.812715623,0.328888889,0.616154643,3.460420842,0.913708087,235.6012814,7.101609989
CT,2008,4.78375087,0.748065348,0.489302968,0.616154643,3.57455683,0.939425228,168.9055632,5.52179201
CT,2010,4.81689243,0.752428706,0.46659313,0.610534591,3.614287977,0.928817811,168.9843481,5.514751917
CT,2011,4.817766166,0.75384369,0.471404083,0.650343924,3.574564842,0.915863142,170.3434109,5.524405685
CT,2012,4.812857498,0.771794253,0.475582822,0.635273761,3.596264192,0.92037216,172.6376567,5.547442543
CT,2013,4.831205887,0.754401539,0.466723068,0.620091064,3.614659831,0.926929957,173.5582258,5.544928133
CT,2014,4.851552155,0.793021633,0.461527357,0.636945455,3.636851016,0.957768144,173.7990517,5.551724539
CT,2015,4.845906736,0.76911315,0.448279168,0.629942679,3.652108856,0.959684162,173.1434924,5.542542844
CT,2016,4.844823995,0.789627686,0.447476405,0.636710689,3.684371184,0.967155129,174.306141,5.549922692
CT,2017,4.86918239,0.775081819,0.431648447,0.643352029,3.664362438,0.954122622,174.7367257,5.555722363
DE,2006,4.781501689,0.755429162,0.510875194,0.549831737,3.638591917,0.926242236,174.8123061,5.555261117
DE,2007,2.632653061,0.78541492,0.336134454,0.519832985,3.625528318,0.921074727,239.3755239,6.619446773
DE,2008,4.858040859,0.7265625,0.50326456,0.519832985,3.731668857,0.94296875,174.2563102,5.521445919
DE,2010,4.882220555,0.730826693,0.493756244,0.532884903,3.725790266,0.934479322,174.7610047,5.524164801
DE,2011,4.877852349,0.724376114,0.513501549,0.572237319,3.719446922,0.922379478,176.5917016,5.548204958
DE,2012,4.87973138,0.757600161,0.485945399,0.543813387,3.732019504,0.921726851,175.3451399,5.549205071
DE,2013,4.868636756,0.711715571,0.476280042,0.549579832,3.675642088,0.921528348,177.857026,5.548254585
DE,2014,4.881303336,0.735911044,0.474580645,0.512973534,3.675807278,0.946383409,179.6813824,5.543495627
DE,2015,4.877461064,0.700522345,0.486328125,0.516310461,3.683022024,0.942481512,179.3683779,5.559917167
DE,2016,4.862314709,0.706222467,0.47879809,0.544833476,3.69301676,0.942896552,181.1762926,5.568413091
DE,2017,4.871377883,0.68957484,0.449466592,0.538615561,3.670946135,0.923835616,181.4476347,5.565604776
DC,2006,4.805745554,0.792348285,0.42936803,0.621571238,3.648266667,0.939297968,169.1231215,5.572963354
DC,2007,3.225806452,0.795586527,0.361207898,0.632898696,3.568581477,0.936194896,226.0777262,6.68474478
DC,2008,4.834733894,0.8005,0.441597589,0.632898696,3.628448494,0.949674512,169.0109945,5.56071964
DC,2010,4.839543106,0.798839968,0.441028359,0.633333333,3.683004795,0.952807804,168.4122761,5.562961012
DC,2011,4.799753695,0.802786452,0.445422943,0.645812808,3.666666667,0.950944265,170.8876895,5.55688256
DC,2012,4.853152894,0.809208712,0.429980276,0.623936472,3.673338894,0.946512269,170.480473,5.558855886
DC,2013,4.860487569,0.809849199,0.428666519,0.623455403,3.657118243,0.956484642,171.5360715,5.566982337
DC,2014,4.83248731,0.795171133,0.419097413,0.622025457,3.698395722,0.96791302,172.3019566,5.563766966
DC,2015,4.832970451,0.790669494,0.435547984,0.611714286,3.742801772,0.970280682,172.087064,5.557676463
DC,2016,4.841886681,0.81695013,0.389815628,0.607131972,3.766559673,0.964213564,176.5033074,5.591506088
DC,2017,4.821639151,0.742798953,0.377172654,0.629772122,3.743472023,0.955656623,176.885051,5.590175538
FL,2006,4.701620207,0.74065674,0.514774187,0.504859183,3.578873239,0.848021316,169.9447508,5.537899678
FL,2007,2.159353349,0.745953554,0.218753147,0.453680079,3.457234461,0.771172802,238.0794576,6.095479658
FL,2008,4.722692423,0.714854756,0.514185434,0.453680079,3.624615385,0.86406918,172.5831797,5.532124034
FL,2010,4.781452281,0.709451192,0.527398284,0.46099227,3.540183818,0.867526342,175.1642853,5.536720347
FL,2011,4.797460141,0.721954764,0.51310286,0.523180669,3.530393428,0.854422814,174.4083645,5.547744531
FL,2012,4.802279202,0.755472945,0.495663123,0.51911412,3.573039967,0.858721171,172.9675423,5.535976253
FL,2013,4.803782506,0.707550939,0.510303223,0.47909648,3.576301953,0.861619446,175.5346257,5.544726785
FL,2014,4.825885084,0.758082252,0.490042108,0.552321552,3.621645598,0.900573192,171.8388371,5.536167489
FL,2015,4.845171687,0.743049602,0.482635695,0.543133598,3.634796416,0.91266179,173.4401077,5.551564603
FL,2016,4.803055274,0.674658159,0.480879928,0.476490808,3.676909733,0.886699357,177.5420255,5.558507681
FL,2017,4.794419655,0.684224471,0.47632198,0.492106356,3.598702029,0.870784825,179.2779527,5.57289532
GA,2006,4.720792079,0.725511746,0.454695904,0.430372731,3.559635599,0.86781293,174.4287675,5.567481014
GA,2007,2.623529412,0.782178218,0.291516245,0.401685908,3.43204775,0.831081081,242.0935673,6.502511621
GA,2008,4.774788058,0.724156692,0.436522372,0.401685908,3.653274629,0.8739572,175.5484689,5.550401643
GA,2010,4.81496063,0.709470599,0.443832599,0.407373101,3.67174438,0.87644363,175.794989,5.545751036
GA,2011,4.832826405,0.715854876,0.433762058,0.444934918,3.634223433,0.863378624,176.12448,5.544791111
GA,2012,4.809832523,0.726765475,0.433374844,0.433780161,3.613620199,0.8525048,176.3193453,5.551831215
GA,2013,4.808941921,0.715480578,0.405295316,0.445263445,3.603561387,0.842285413,178.7050643,5.555759643
GA,2014,4.820586647,0.742691058,0.416150168,0.444008559,3.63274568,0.884582404,178.8357826,5.560791183
GA,2015,4.824865969,0.713997986,0.427479092,0.444231231,3.628883092,0.905686871,178.755483,5.556910095
